Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Resultado_Antes_IR,Lucro_Liquido,Ativo_Total,Patrimonio_Liquido,Passivo_Total,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
2023,NATURA,32.785.497/0001-97,29223656.0,-383637.0,-2858626.0,0.0,54685390.0,22351184.0,54685390.0,0.0,0.0,0.0,144.66439898664876,-27.24042390769782
2024,NATURA,32.785.497/0001-97,19831044.0,1000467.0,2974510.0,0.0,42747015.0,23120465.0,42747015.0,0.0,0.0,0.0,84.88821483477949,-32.14044129180825
2010,PETROBRAS,33.000.167/0001-01,182833794.0,44437409.0,33344072.0,0.0,350418897.0,166893136.0,350418897.0,0.0,0.0,0.0,109.96603299491,
2011,PETROBRAS,33.000.167/0001-01,211841891.0,45288154.0,35881332.0,0.0,516845748.0,309828275.0,516845748.0,0.0,0.0,0.0,66.8168432981141,15.8658289396981
2012,PETROBRAS,33.000.167/0001-01,244176142.0,44228720.0,33109612.0,0.0,600096965.0,332223611.0,600096965.0,0.0,0.0,0.0,80.63043839469917,15.263388580684456
2013,PETROBRAS,33.000.167/0001-01,281379482.0,31476031.0,20959362.0,0.0,669031561.0,330775385.0,669031561.0,0.0,0.0,0.0,102.26159240960448,15.236271527297696
2014,PETROBRAS,33.000.167/0001-01,304890000.0,34357000.0,23007000.0,0.0,752967000.0,349334000.0,752967000.0,0.0,0.0,0.0,115.54357720691372,8.355448603747174
2015,PETROBRAS,33.000.167/0001-01,337260000.0,-21916000.0,-21924000.0,0.0,793375000.0,310722000.0,793375000.0,0.0,0.0,0.0,155.33274116412744,10.616943815802426
2016,PETROBRAS,33.000.167/0001-01,321638000.0,-13188000.0,-35171000.0,0.0,900135000.0,257930000.0,900135000.0,0.0,0.0,0.0,248.98422052494865,-4.632034632034632
2017,PETROBRAS,33.000.167/0001-01,282589000.0,16482000.0,-13045000.0,0.0,804945000.0,252743000.0,804945000.0,0.0,0.0,0.0,218.4835979631484,-12.140667458447076
2018,PETROBRAS,33.000.167/0001-01,283695000.0,37773000.0,377000.0,0.0,831515000.0,269609000.0,831515000.0,0.0,0.0,0.0,208.41514934590464,0.3913811224074637
2019,PETROBRAS,33.000.167/0001-01,310255000.0,62465000.0,26698000.0,0.0,860473000.0,283543000.0,860473000.0,0.0,0.0,0.0,203.47178382114885,9.36216711609299
2020,PETROBRAS,33.000.167/0001-01,302245000.0,81701000.0,40970000.0,0.0,926011000.0,299137000.0,926011000.0,0.0,0.0,0.0,209.56083667349745,-2.581747272404955
2021,PETROBRAS,33.000.167/0001-01,272069000.0,49621000.0,6246000.0,0.0,987419000.0,311150000.0,987419000.0,0.0,0.0,0.0,217.3450104451229,-9.983953415275682
2022,PETROBRAS,33.000.167/0001-01,452668000.0,210831000.0,107264000.0,0.0,972951000.0,389581000.0,972951000.0,0.0,0.0,0.0,149.7429289416065,66.37985216985398
2023,PETROBRAS,33.000.167/0001-01,641256000.0,294255000.0,189005000.0,0.0,976709000.0,364385000.0,976709000.0,0.0,0.0,0.0,168.04314118308932,41.66143840518879
2024,PETROBRAS,33.000.167/0001-01,511994000.0,189342000.0,125166000.0,0.0,1050888000.0,382340000.0,1050888000.0,0.0,0.0,0.0,174.85693361929174,-20.15762815474631
2010,VALE,33.592.510/0001-54,48496566.0,13364870.0,10504879.0,0.0,177738189.0,100295227.0,177738189.0,0.0,0.0,0.0,77.21500246467362,
2011,VALE,33.592.510/0001-54,83225006.0,40441956.0,30421692.0,0.0,214662114.0,116326862.0,214662114.0,0.0,0.0,0.0,84.5335723059391,71.6101012183007
2012,VALE,33.592.510/0001-54,102018680.0,52274199.0,37407855.0,0.0,237088552.0,146680620.0,237088552.0,0.0,0.0,0.0,61.63590800202508,22.58176346661964
2013,VALE,33.592.510/0001-54,91269482.0,15167191.0,9390934.0,0.0,266921654.0,152909437.0,266921654.0,0.0,0.0,0.0,74.56192321210364,-10.536499786117604
2014,VALE,33.592.510/0001-54,101489747.0,33436715.0,-257566.0,0.0,291880311.0,152122066.0,291880311.0,0.0,0.0,0.0,91.87243420688226,11.197899644045318
2015,VALE,33.592.510/0001-54,88274564.0,17572598.0,219588.0,0.0,309415532.0,149601623.0,309415532.0,0.0,0.0,0.0,106.82632032675208,-13.0212000627019
