cd_papel,retorno_acumulado,volatilidade,volume_medio,negocios_medio
61,-0.24174757281542003,6.200473825492945,221515187.52076632,4072.223457151214
62,-0.25622641509429867,6.302192543918397,309806680.8512284,3169.7053231939162
63,0.06486486486493104,5.1354652448953235,7806267.674288567,252.82226660009985
64,-0.9997613636363637,0.13233525851086453,1376215.1831685393,2.404494382022472
65,-0.9997818181818182,0.0787083645078638,5879846.979676007,5.51138353765324
66,-0.9644676258992754,0.056052255893630484,20743188.761503566,53.42773817239144
67,128.99999999998715,14.238479578346784,5263028.3930476,37.48291526762789
68,-0.9975829268292684,0.17068681102391395,303824.0966542751,1.8698884758364311
69,344.7999999999688,20.784283315168974,629645.6888888889,6.344
70,-0.958620689655178,0.06383594520053912,1705403.7653276955,10.161733615221987
71,42.09090909090664,12.912719743247235,2517016.8253128007,146.91369906961822
72,56.08428246014191,14.833985267247469,10177607.866707427,166.86163949275362
73,-0.9988705882352943,0.17357309709107455,2110076.423076923,1.853846153846154
74,-0.9980634920634923,0.07759532182611113,3286477.623529412,6.152941176470589
75,-0.48437500000002665,3.4385845641722987,23717365.366579544,7.134090909090909
76,-0.9608333333333281,0.12345105308803514,406473.28896774194,2.0731182795698926
77,-0.0621118012423294,0.0397554074228361,1004833.4528429264,18.863636363636363
78,-0.9944444444444439,0.07135073611962027,4960905.05334728,8.341004184100418
79,31.599999999997898,56.400409357069314,526747.5315789473,2.2263157894736842
80,25.900000000000645,33.33446039019841,3110354.0845714286,2.8285714285714287
81,-0.999985,0.13924694429922324,3968565.4794124844,3.616891064871481
82,39.83885209712557,10.765029599679568,1914746.4844036698,4.757798165137615
83,0.25827814569548324,136.87190577642323,2792123.468418988,119.54648881914476
84,-0.7458333333333618,0.8140993802957958,13768542.138221093,2232.325031766201
85,-0.5523165751302249,1.030534522070737,24201379.495168217,29.677523264137438
86,35.956521739132604,39.15367766651503,191089.33128834356,2.165644171779141
87,9.479166666666929,16.6507373482548,27463998.767166764,101.65897287939988
88,2.1217391304347855,0.055690747836451754,62677043.47826087,6.826086956521739
89,-0.9971428571428573,0.09640664098196385,6342340.189585366,2.292682926829268
90,-0.5170547720563485,16.300578670680746,67986215.2721562,931.1062319221667
91,-0.9218367346938715,0.027240921597480913,94880468.64918561,10415.863976522378
92,6.891566265060984,12.890433119407396,606234.3802401102,73.75634717575281
93,-0.10000000000004339,40.96156815677187,2223246.6856947606,3.6264236902050113
94,-0.9976941176470587,0.043111629379436064,20649788.221354377,28.335030549898168
95,-0.8172000000000214,0.154225544137622,385037.51862959843,31.17495085650098
96,-0.9945692307692301,0.12915835638982212,229809.74481132074,3.2735849056603774
97,-0.9998189130434783,0.0431529336307281,64674415.26692205,90.84810126582279
98,-0.8825000000000116,1.2864851948785783,10761402.762376238,1426.1686642348445
99,-0.8860784313725463,1.1852120804759323,45959070.82981082,5167.47664794561
100,-0.9978813559322033,1.099920389576855,183991.7109120521,1.778501628664495
101,-0.9936052631578953,0.047828424147443226,7930562.490238612,10.017353579175705
102,-0.9919658119658123,0.2091741252630322,593749.2515395895,2.6744868035190614
103,-0.9994628363733369,0.05998623407490704,5664282.754382207,5.091433278418451
104,-0.99995,1.0781926086290492,829155.3958208956,1.9402985074626866
105,0.5873015873014891,51.13787649104977,227916.2658472222,2.5944444444444446
106,0.7424242424240497,46.17622657882259,181224.3936039604,3.0554455445544555
107,-0.9999979104477612,0.23086097519319898,16979600.69414013,8.86624203821656
108,-0.9999985833333334,0.1400242265022996,170046781.79454082,7.1020408163265305
109,-0.9883137254901955,0.05320957198366397,3168426.757184751,13.648093841642229
110,-0.2187499999998913,3.202362719900161,244818.40539726027,2.6205479452054794
111,2.345112781954684,5.092086576153023,6687693.221223543,9.472600753841693
112,77.12499999999324,1.6526612752439445,137440.6738940153,9.566569997363564
113,200.21686223381522,190.45625770554864,1145727.8817238626,12.968874700718276
114,-0.9984166666666665,0.057135058125421016,10471051.211055277,12.938023450586265
115,-0.9993588235294119,0.3359980700490329,1482158.1355825244,2.174757281553398
116,-0.9991698113207547,0.15811560816299758,131056.60819571867,1.8868501529051989
117,-0.9990699999999999,0.06318927224501755,187933149.67089716,22.166301969365428
118,-0.9930232558139526,0.08503746296589247,20583210.6414375,3.603125
119,68.99000000000838,232.4253102132149,108819.50464212679,3.8404907975460123
120,25.48039215686118,242.188033300062,216313.69403215832,7.57452071737786
121,-0.9954666666666664,0.2074553055562677,1078035.211610487,3.5692883895131087
122,-0.9967928571428574,0.05625153614258802,5787070.15908159,18.23739237392374
123,13.391304347826866,27.185144733863815,2074732.2845528456,3.2997967479674797
124,187.33333333335423,2.381929755422231,1806674.4924942132,317.20862268518516
125,-0.988325203252033,0.04452206538906614,29107238.656342182,11.570058997050147
126,-0.9975827338129494,0.09711612885600165,6421037.183387271,4.748651564185545
127,0.46000000000021646,30.65673042939195,26946413.647649232,45.316428948758585
128,-0.9819419354838718,0.04595462697990075,39358530.35556537,17.375
